_id,date,gender,race,agebook,agecurr
1,1/1/2018,M,B,26,28
2,1/1/2018,M,W,59,60
3,1/1/2018,M,B,23,24
4,1/1/2018,M,W,51,52
5,1/1/2018,M,B,20,21
6,1/1/2018,M,B,20,21
7,1/1/2018,M,B,31,32
8,1/1/2018,M,W,34,36
9,1/1/2018,M,W,28,29
10,1/1/2018,M,B,25,26
11,1/1/2018,M,B,27,28
12,1/1/2018,M,B,29,30
13,1/1/2018,M,W,28,29
14,1/1/2018,M,W,57,58
15,1/1/2018,M,B,25,26
16,1/1/2018,M,B,26,27
17,1/1/2018,M,B,51,52
18,1/1/2018,M,B,37,38
19,1/1/2018,M,B,44,45
20,1/1/2018,M,B,23,23
21,1/1/2018,M,B,37,37
22,1/1/2018,M,B,31,31
23,1/1/2018,M,B,25,26
24,1/1/2018,M,B,22,23
25,1/1/2018,M,B,31,32
26,1/1/2018,M,B,26,26
27,1/1/2018,M,B,35,35
28,1/1/2018,M,B,30,30
29,1/1/2018,M,B,19,20
30,1/1/2018,M,B,30,31
31,1/1/2018,M,B,33,34
32,1/1/2018,M,W,39,40
33,1/1/2018,M,W,29,29
34,1/1/2018,M,W,30,30
35,1/1/2018,M,B,24,24
36,1/1/2018,M,B,20,20
37,1/1/2018,M,B,49,49
38,1/1/2018,M,B,25,25
39,1/1/2018,M,B,36,36
40,1/1/2018,M,B,35,35
41,1/1/2018,M,W,31,31
42,1/1/2018,M,W,34,34
43,1/1/2018,M,H,20,20
44,1/1/2018,M,B,55,55
45,1/1/2018,M,B,35,35
46,1/1/2018,M,B,22,23
47,1/1/2018,M,W,55,55
48,1/1/2018,M,W,30,30
49,1/1/2018,M,B,22,22
50,1/1/2018,M,W,27,27
51,1/1/2018,M,B,24,25
52,1/1/2018,M,W,25,25
53,1/1/2018,M,B,33,33
54,1/1/2018,M,B,51,51
55,1/1/2018,M,W,38,38
56,1/1/2018,M,W,27,27
57,1/1/2018,M,B,50,50
58,1/1/2018,M,B,24,24
59,1/1/2018,M,B,28,28
60,1/1/2018,M,W,30,30
61,1/1/2018,M,B,36,36
62,1/1/2018,M,W,31,31
63,1/1/2018,M,W,34,35
64,1/1/2018,M,B,37,37
65,1/1/2018,M,W,53,53
66,1/1/2018,M,B,35,35
67,1/1/2018,M,B,56,57
